Nome/Razão Social;Data de Publicação do Ato;Nome do Município;UF
R.L. COMPUTADORES E ENTRETERIMENTOS LTDA ;26/10/2007;Guararapes;SP
LINE CONECT COMUNICAÇÕES LTDA - ME ;17/03/2016;Palmas;TO
BRASILNET TELECOM LTDA - ME;22/12/2009;Palmas;TO
VELOX MULTIMIDIA LTDA - ME;08/08/2016;Morrinhos;GO
IPTEL COMÉRCIO E SERVIÇOS DE TELECOMUNICAÇÕES LTDA;17/08/2006;São Paulo;SP
NATURAL SQUARE SERVICOS DE INFORMATICA LTDA EPP;12/08/2011;São Paulo;SP
CENTRO OESTE TELECOMUNICAÇÕES LTDA;05/11/2009;Brasília;DF
MAURO TAMANINI ME;24/01/2014;Contagem;MG
TBONET - SERVIÇOS DE INFO0RMÁTICA E COMUNIAÇÕES LTDA - ME;02/09/2013;Timbó;SC
NETSIM PROVEDOR DE SISTEMA DE INTEGRAÇÃO A MÍDIA LTDA - ME;28/04/2015;Brasília;DF
ALEXANDRE ALVARENGA INFORMÁTICA - ME;11/06/2014;São José do Rio Preto;SP
INNOVA TECNOLOGIA E SERVICOS LTDA - ME;14/07/2016;Bauru;SP
MILTON SILVA DE LIMA - ME;30/05/2016;Atibaia;SP
ISSO INTERNET E TELECOMUNICAÇÕES LTDA - ME;19/01/2016;Caieiras;SP
CHARLES MENDES RODRIGUES - ME;13/03/2017;Caucaia;CE
G. C. TELECOMUNICAÇÕES  LTDA  ME;08/03/2012;Humaitá;AM
A. ALVES GOMES INFORMATICA - ME;21/02/2013;Tianguá;CE
CONEXAO INFORMATICA SILVA LTDA ;01/06/2010;Mambaí;GO
GO INTERNET E SUPRIMENTOS DE INFORMÁCIA LTDA - ME;04/02/2016;Lauro de Freitas;BA
PAULA SILVA DE OLIVEIRA - ME;29/06/2016;Engenheiro Caldas;MG
INFOSERVICE WIRELESS LTDA;04/12/2015;Formoso do Araguaia;TO
ROLIM NET TECNOLOGIA LTDA - ME;19/01/2016;Rolim de Moura;RO
SUPER I TELECOM LTDA - ME;04/10/2016;Governador Valadares;MG
FONETALK SERVICOS DE TELEFONIA - EIRELI - ME;24/07/2015;Goiânia;GO
AJNS PROVEDOR DE INTERNET LTDA - ME;01/12/2016;Coaraci;BA
REDE VELOZ LTDA;20/08/2010;Caruaru;PE
EVERTON MOTA - ME;16/09/2010;Guapiaçu;SP
SEM FRONTEIRAS TELECOMUNICACOES LTDA - ME;19/02/2016;Rio Branco;AC
SIMPLE SERVICES TECNOLOGIA LTDA - ME;26/12/2016;Pompéia;SP
BRASIL NET PAPELARIA E PROVEDOR DE INTERNET LTDA - EPP;19/08/2014;Porto Alegre do Norte;MT
INFORMIXNET INFORMÁTICA LTDA - ME;29/11/2010;Brasília;DF
STIW SISTEMA DE TELECOMUNICACOES E INFORMATICA WIRELESS LTDA;12/02/2010;Capelinha;MG
MEGACOM INTERNET LTDA - ME;25/10/2017;Juiz de Fora;MG
ZNET TELECOM LTDA - ME;15/04/2015;Guarapuava;PR
J DA SILVA LEAL - ME;17/10/2016;Araripina;PE
ANDRÉ MARCELO DE OLIVEIRA CAMARGO - ME;15/07/2014;Itaí;SP
R.V.PROVEDOR DE INTERNET LTDA ME;14/11/2011;Paraguaçu Paulista;SP
NÚBIA MARÍLIA PINHEIRO VERAS DIAS ME;31/01/2011;Salgueiro;PE
CITY TURBO TELECOM LTDA ME;28/02/2014;Telêmaco Borba;PR
R. CORREIA DA SILVA - COMUNICACAO - ME;21/06/2017;Arapongas;PR
MARIA JEANE ALVES DE BRITO - ME;11/08/2015;Juazeiro;BA
J. P. SAT TELECOMUNICAÇÕES LTDA;12/04/2011;São José do Alegre;MG
E DOS SANTOS MAIA;19/06/2015;Tapauá;AM
BALESTRIN E BIASUS LTDA;28/12/2010;Seberi;RS
ALTAIR FRANCISCO MENDANHA - ME;06/07/2009;Itaberaí;GO
UNIDASNET COMUNICAÇÕES LTDA;22/01/2008;Itabaiana;PB
TDF PROVIDER SERVIÇOS EM INFORMATICA LTDA - ME;24/04/2008;Teixeira de Freitas;BA
PR COMUNICAÇÕES EIRELI - ME;22/12/2014;São Thomé das Letras;MG
EDGAR RODRIGUES ROMAO FILHO;26/01/2010;Itambé;PE
VIAR TELECOM EIRELI - ME;22/02/2012;Medianeira;PR
MARIA DA CONCEICAO SANTOS - INFORMATICA;01/10/2013;Goiânia;GO
AMP NET LTDA - ME;08/09/2016;Terezópolis de Goiás;GO
RENOVARE TELECOM EIRELI - EPP;25/08/2011;Dois Irmãos;RS
IAGO LIMA MARTINS - ME;19/08/2016;Arapiraca;AL
LIBERCOM TECNOLOGIA EM COMUNICACAO LTDA - ME;28/07/2016;São Paulo;SP
U. M. R. DA S. DAMASCENO EIRELI - ME;22/01/2018;Santa Izabel do Pará;PA
